,location,total_sqft,bath,bhk
0,1st Block Jayanagar,1875.0,2.0,3.0
1,1st Block Jayanagar,2850.0,4.0,4.0
2,1st Block Jayanagar,1760.0,3.0,3.0
3,1st Block Jayanagar,2450.0,4.0,4.0
4,1st Block Jayanagar,2400.0,4.0,4.0
5,1st Block Jayanagar,2750.0,4.0,4.0
6,1st Block Jayanagar,1630.0,3.0,3.0
7,1st Block Jayanagar,1200.0,2.0,3.0
8,1st Block Jayanagar,1000.0,3.0,2.0
9,1st Phase JP Nagar,1566.0,2.0,2.0
10,1st Phase JP Nagar,2077.0,3.0,3.0
11,1st Phase JP Nagar,840.0,2.0,1.0
12,1st Phase JP Nagar,2615.0,5.0,4.0
13,1st Phase JP Nagar,2180.0,3.0,3.0
14,1st Phase JP Nagar,2059.0,3.0,3.0
15,1st Phase JP Nagar,1394.0,2.0,2.0
16,1st Phase JP Nagar,900.0,2.0,2.0
17,1st Phase JP Nagar,1200.0,2.0,2.0
18,1st Phase JP Nagar,2200.0,7.0,5.0
19,1st Phase JP Nagar,1180.0,2.0,2.0
20,1st Phase JP Nagar,1394.0,2.0,2.0
21,1st Phase JP Nagar,2065.0,4.0,3.0
22,1st Phase JP Nagar,1077.0,2.0,2.0
23,1st Phase JP Nagar,1875.0,3.0,3.0
24,1st Phase JP Nagar,1205.0,2.0,2.0
25,2nd Stage Nagarbhavi,2400.0,8.0,6.0
26,2nd Stage Nagarbhavi,1200.0,4.0,4.0
27,2nd Stage Nagarbhavi,1350.0,4.0,4.0
28,2nd Stage Nagarbhavi,3000.0,8.0,6.0
29,2nd Stage Nagarbhavi,1500.0,4.0,4.0
30,2nd Stage Nagarbhavi,1500.0,3.0,4.0
31,5th Phase JP Nagar,1700.0,2.0,3.0
32,5th Phase JP Nagar,1550.0,3.0,3.0
33,5th Phase JP Nagar,600.0,1.0,1.0
34,5th Phase JP Nagar,1350.0,2.0,3.0
35,5th Phase JP Nagar,1256.0,2.0,2.0
36,5th Phase JP Nagar,1075.0,2.0,2.0
37,5th Phase JP Nagar,1030.0,2.0,2.0
38,5th Phase JP Nagar,1725.0,2.0,3.0
39,5th Phase JP Nagar,1075.0,2.0,2.0
40,5th Phase JP Nagar,1070.0,2.0,2.0
41,5th Phase JP Nagar,1485.0,2.0,3.0
42,5th Phase JP Nagar,812.0,2.0,2.0
43,5th Phase JP Nagar,1207.0,2.0,2.0
44,5th Phase JP Nagar,552.0,1.0,1.0
45,5th Phase JP Nagar,1400.0,2.0,3.0
46,5th Phase JP Nagar,4000.0,5.0,5.0
47,5th Phase JP Nagar,1150.0,3.0,2.0
48,5th Phase JP Nagar,1485.0,2.0,3.0
49,5th Phase JP Nagar,1256.0,2.0,2.0
50,5th Phase JP Nagar,2500.0,5.0,5.0
51,5th Phase JP Nagar,1440.0,2.0,2.0
52,5th Phase JP Nagar,1200.0,2.0,2.0
53,5th Phase JP Nagar,1450.0,2.0,2.0
54,5th Phase JP Nagar,1200.0,2.0,2.0
55,5th Phase JP Nagar,1450.0,2.0,3.0
56,5th Phase JP Nagar,1000.0,2.0,2.0
57,5th Phase JP Nagar,2500.0,8.0,7.0
58,5th Phase JP Nagar,2400.0,4.0,4.0
59,6th Phase JP Nagar,750.0,1.0,1.0
60,6th Phase JP Nagar,1170.0,2.0,2.0
61,6th Phase JP Nagar,1213.0,2.0,2.0
62,6th Phase JP Nagar,1280.0,2.0,2.0
63,6th Phase JP Nagar,1460.0,2.0,2.0
